"","SYMBOL","ENSEMBL","ENTREZID"
"443","IFT80","ENSG00000068885","57560"
"444","L3MBTL3","ENSG00000198945","84456"
"445","CSAD","ENSG00000139631","51380"
"446","F3","ENSG00000117525","2152"
"447","LEO1","ENSG00000166477","123169"
"448","PM20D2","ENSG00000146281","135293"
"449","BPIFA4P","ENSG00000183566","317716"
"450","PRKDC","ENSG00000253729","5591"
"451","RASAL2-AS1","ENSG00000224687","100302401"
"452","GLYAT","ENSG00000149124","10249"
"453","LDLRAD2","ENSG00000187942","401944"
"454","EXOC3L4","ENSG00000205436","91828"
"455","SEC14L6","ENSG00000214491","730005"
"456","SERPINB7","ENSG00000166396","8710"
"457","PRDM11","ENSG00000019485","56981"
"458","PSG7","ENSG00000221878","5676"
"459","GLIS3","ENSG00000107249","169792"
"460","IL31RA","ENSG00000164509","133396"
"461","GEMIN8","ENSG00000046647","54960"
"462","C12orf75","ENSG00000235162","387882"
"463","C1orf35","ENSG00000143793","79169"
"464","AKT1","ENSG00000142208","207"
"465","SERPINH1","ENSG00000149257","871"
"466","JAKMIP1","ENSG00000152969","152789"
"467","CTNNAL1","ENSG00000119326","8727"
"468","AHNAK","ENSG00000124942","79026"
"469","CDK6","ENSG00000105810","1021"
"470","DDX11L10","ENSG00000233614","100287029"
"471","DNAJA3","ENSG00000103423","9093"
"472","DNAJA3","ENSG00000276726","9093"
"473","SMAD1","ENSG00000170365","4086"
"474","ICAM5","ENSG00000105376","7087"
"475","ASB8","ENSG00000177981","140461"
"476","STPG3","ENSG00000197768","441476"
"477","ADAM19","ENSG00000135074","8728"
"478","SUPT3H","ENSG00000196284","8464"
"479","BIRC5","ENSG00000089685","332"
"480","CNN2","ENSG00000064666","1265"
"481","NLN","ENSG00000123213","57486"
"482","GOLIM4","ENSG00000173905","27333"
"483","ADIPOR1","ENSG00000159346","51094"
"484","GAP43","ENSG00000172020","2596"
"485","RAB33B","ENSG00000172007","83452"
"486","SLC9A6","ENSG00000198689","10479"
"487","RUSC1","ENSG00000160753","23623"
"488","CSNK1A1","ENSG00000113712","1452"
"489","LRRC45","ENSG00000169683","201255"
"490","SLC35F2","ENSG00000110660","54733"
"491","TLCD3A","ENSG00000167695","79850"
"492","GANAB","ENSG00000089597","23193"
"493","FERMT1","ENSG00000101311","55612"
"494","RREB1","ENSG00000124782","6239"
"495","FGF14","ENSG00000102466","2259"
"496","FHL1","ENSG00000022267","2273"
"497","NFE2L3","ENSG00000050344","9603"
"498","SAMHD1","ENSG00000101347","25939"
"499","EXT1","ENSG00000182197","2131"
"500","IL4I1","ENSG00000104951","259307"
"501","IL22RA1","ENSG00000142677","58985"
"502","BLID","ENSG00000259571","414899"
"503","CSDC2","ENSG00000172346","27254"
"504","CERK","ENSG00000100422","64781"
"505","POGLUT2","ENSG00000134901","79070"
"506","PAQR7","ENSG00000182749","164091"
"507","FBXL22","ENSG00000197361","283807"
"508","FYN","ENSG00000010810","2534"
"509","ARHGAP28","ENSG00000088756","79822"
"510","TRAM2","ENSG00000065308","9697"
"511","GATD3A","ENSG00000160221","8209"
"512","GNA15","ENSG00000060558","2769"
"513","MTHFD1L","ENSG00000120254","25902"
"514","NAAA","ENSG00000138744","27163"
"515","HAX1","ENSG00000143575","10456"
"516","PBOV1","ENSG00000254440","59351"
"517","MACROD1","ENSG00000133315","28992"
"518","LNCOC1","ENSG00000253741","100288181"
"519","MAP1B","ENSG00000131711","4131"
"520","SEMA3D","ENSG00000153993","223117"
"521","COLGALT2","ENSG00000198756","23127"
"522","RNF152","ENSG00000176641","220441"
"523","GNB2","ENSG00000172354","2783"
"524","ELL3","ENSG00000128886","80237"
"525","THTPA","ENSG00000259431","79178"
"526","COL8A1","ENSG00000144810","1295"
"527","GPAA1","ENSG00000197858","8733"
"528","SLC35G2","ENSG00000168917","80723"
"529","PDIA6","ENSG00000143870","10130"
"530","BTN1A1","ENSG00000124557","696"
"531","LRRN4","ENSG00000125872","164312"
