block_id,drug_row,drug_col,conc_r,conc_c,response,conc_r_unit,conc_c_unit
3,Dasatinib,AZD7762,0,0.3125,43.08371259,uM,uM
3,Dasatinib,AZD7762,0,0.625,38.90957569,uM,uM
3,Dasatinib,AZD7762,0,1.25,37.60400864,uM,uM
3,Dasatinib,AZD7762,0,2.5,38.21541856,uM,uM
3,Dasatinib,AZD7762,0,5,39.67728589,uM,uM
3,Dasatinib,AZD7762,0,10,39.07966717,uM,uM
3,Dasatinib,AZD7762,0.001953125,0.078125,90.38653118,uM,uM
3,Dasatinib,AZD7762,0.00390625,0.15625,64.08315069,uM,uM
3,Dasatinib,AZD7762,0.0078125,0.3125,48.57043236,uM,uM
3,Dasatinib,AZD7762,0.015625,0.625,39.92827256,uM,uM
3,Dasatinib,AZD7762,0.03125,1.25,39.38035465,uM,uM
3,Dasatinib,AZD7762,0.0625,2.5,38.49870492,uM,uM
3,Dasatinib,AZD7762,0.125,5,40.80494122,uM,uM
3,Dasatinib,AZD7762,0.25,10,38.66308029,uM,uM
3,Dasatinib,AZD7762,0.001953125,0,90.43939258,uM,uM
3,Dasatinib,AZD7762,0.00390625,0,85.84778507,uM,uM
3,Dasatinib,AZD7762,0.0078125,0,87.44720999,uM,uM
3,Dasatinib,AZD7762,0.015625,0,83.29589361,uM,uM
3,Dasatinib,AZD7762,0.03125,0,68.77527181,uM,uM
3,Dasatinib,AZD7762,0.0625,0,55.20262378,uM,uM
3,Dasatinib,AZD7762,0.125,0,37.53257256,uM,uM
3,Dasatinib,AZD7762,0.25,0,28.5290682,uM,uM
3,Dasatinib,AZD7762,0,0.078125,91.11769897,uM,uM
3,Dasatinib,AZD7762,0,0.15625,58.71144402,uM,uM
3,Dasatinib,AZD7762,0,0.3125,40.79748354,uM,uM
3,Dasatinib,AZD7762,0,0.625,37.882731,uM,uM
3,Dasatinib,AZD7762,0,1.25,36.03159157,uM,uM
3,Dasatinib,AZD7762,0,2.5,36.75122768,uM,uM
3,Dasatinib,AZD7762,0,5,36.92321619,uM,uM
3,Dasatinib,AZD7762,0,10,37.19930299,uM,uM
3,Dasatinib,AZD7762,0.001953125,0.078125,79.48917268,uM,uM
3,Dasatinib,AZD7762,0.00390625,0.15625,53.57023876,uM,uM
3,Dasatinib,AZD7762,0.0078125,0.3125,38.98278734,uM,uM
3,Dasatinib,AZD7762,0.015625,0.625,34.66518601,uM,uM
3,Dasatinib,AZD7762,0.03125,1.25,34.40310938,uM,uM
3,Dasatinib,AZD7762,0.0625,2.5,35.19378123,uM,uM
3,Dasatinib,AZD7762,0.125,5,35.59355913,uM,uM
3,Dasatinib,AZD7762,0.25,10,37.41476957,uM,uM
4,Dasatinib,BI-2536,0.001953125,0,80.70264766,uM,nM
4,Dasatinib,BI-2536,0.00390625,0,84.57230143,uM,nM
4,Dasatinib,BI-2536,0.0078125,0,81.33678948,uM,nM
4,Dasatinib,BI-2536,0.015625,0,70.81558971,uM,nM
4,Dasatinib,BI-2536,0.03125,0,64.31216441,uM,nM
4,Dasatinib,BI-2536,0.0625,0,51.37011665,uM,nM
4,Dasatinib,BI-2536,0.125,0,37.53934457,uM,nM
4,Dasatinib,BI-2536,0.25,0,33.63728939,uM,nM
4,Dasatinib,BI-2536,0,0.390625,95.88276032,uM,nM
4,Dasatinib,BI-2536,0,0.78125,90.87862744,uM,nM
4,Dasatinib,BI-2536,0,1.5625,91.9375377,uM,nM
4,Dasatinib,BI-2536,0,3.125,88.22464982,uM,nM
4,Dasatinib,BI-2536,0,6.25,75.54006657,uM,nM
4,Dasatinib,BI-2536,0,12.5,56.77456828,uM,nM
4,Dasatinib,BI-2536,0,25,43.04894667,uM,nM
4,Dasatinib,BI-2536,0,50,44.27764002,uM,nM
4,Dasatinib,BI-2536,0.001953125,0.390625,92.2178009,uM,nM
4,Dasatinib,BI-2536,0.00390625,0.78125,73.04576072,uM,nM
4,Dasatinib,BI-2536,0.0078125,1.5625,65.18206007,uM,nM
4,Dasatinib,BI-2536,0.015625,3.125,62.88083995,uM,nM
4,Dasatinib,BI-2536,0.03125,6.25,53.55011147,uM,nM
4,Dasatinib,BI-2536,0.0625,12.5,41.15228804,uM,nM
4,Dasatinib,BI-2536,0.125,25,41.40038833,uM,nM
4,Dasatinib,BI-2536,0.25,50,42.0799674,uM,nM
4,Dasatinib,BI-2536,0.001953125,0,92.74772803,uM,nM
4,Dasatinib,BI-2536,0.00390625,0,93.74662101,uM,nM
4,Dasatinib,BI-2536,0.0078125,0,91.14126097,uM,nM
4,Dasatinib,BI-2536,0.015625,0,83.84007414,uM,nM
4,Dasatinib,BI-2536,0.03125,0,73.83054862,uM,nM
4,Dasatinib,BI-2536,0.0625,0,59.74306825,uM,nM
4,Dasatinib,BI-2536,0.125,0,42.84941946,uM,nM
4,Dasatinib,BI-2536,0.25,0,31.37759699,uM,nM
4,Dasatinib,BI-2536,0,0.390625,109.2144734,uM,nM
4,Dasatinib,BI-2536,0,0.78125,105.6465529,uM,nM
4,Dasatinib,BI-2536,0,1.5625,104.2130134,uM,nM
4,Dasatinib,BI-2536,0,3.125,97.63996921,uM,nM
4,Dasatinib,BI-2536,0,6.25,84.32928934,uM,nM
4,Dasatinib,BI-2536,0,12.5,58.8494518,uM,nM
4,Dasatinib,BI-2536,0,25,44.13177945,uM,nM
4,Dasatinib,BI-2536,0,50,42.58143301,uM,nM
4,Dasatinib,BI-2536,0.001953125,0.390625,90.66435622,uM,nM
4,Dasatinib,BI-2536,0.00390625,0.78125,83.94962404,uM,nM
4,Dasatinib,BI-2536,0.0078125,1.5625,83.23173562,uM,nM
4,Dasatinib,BI-2536,0.015625,3.125,71.66506792,uM,nM
4,Dasatinib,BI-2536,0.03125,6.25,65.54445029,uM,nM
4,Dasatinib,BI-2536,0.0625,12.5,49.77565987,uM,nM
4,Dasatinib,BI-2536,0.125,25,45.40644243,uM,nM
4,Dasatinib,BI-2536,0.25,50,45.02893214,uM,nM
4,Dasatinib,BI-2536,0.001953125,0,88.27174985,uM,nM
4,Dasatinib,BI-2536,0.00390625,0,89.02295882,uM,nM
4,Dasatinib,BI-2536,0.0078125,0,86.36555707,uM,nM
4,Dasatinib,BI-2536,0.015625,0,78.60932438,uM,nM
4,Dasatinib,BI-2536,0.03125,0,66.86698906,uM,nM
4,Dasatinib,BI-2536,0.0625,0,51.42494953,uM,nM
4,Dasatinib,BI-2536,0.125,0,37.97830884,uM,nM
4,Dasatinib,BI-2536,0.25,0,28.57411146,uM,nM
4,Dasatinib,BI-2536,0,0.390625,108.014188,uM,nM
4,Dasatinib,BI-2536,0,0.78125,102.832468,uM,nM
4,Dasatinib,BI-2536,0,1.5625,98.20079165,uM,nM
4,Dasatinib,BI-2536,0,3.125,86.29003239,uM,nM
4,Dasatinib,BI-2536,0,6.25,79.01094947,uM,nM
4,Dasatinib,BI-2536,0,12.5,54.50059117,uM,nM
4,Dasatinib,BI-2536,0,25,41.19158999,uM,nM
4,Dasatinib,BI-2536,0,50,39.55174009,uM,nM
4,Dasatinib,BI-2536,0.001953125,0.390625,86.57521059,uM,nM
4,Dasatinib,BI-2536,0.00390625,0.78125,78.45968712,uM,nM
4,Dasatinib,BI-2536,0.0078125,1.5625,76.05776173,uM,nM
4,Dasatinib,BI-2536,0.015625,3.125,66.17569194,uM,nM
4,Dasatinib,BI-2536,0.03125,6.25,56.49097473,uM,nM
4,Dasatinib,BI-2536,0.0625,12.5,42.54632972,uM,nM
4,Dasatinib,BI-2536,0.125,25,36.80385078,uM,nM
4,Dasatinib,BI-2536,0.25,50,40.76534296,uM,nM
5,Dasatinib,Entinostat,0.001953125,0,81.59348,uM,uM
5,Dasatinib,Entinostat,0.00390625,0,75.68361985,uM,uM
5,Dasatinib,Entinostat,0.0078125,0,74.16495947,uM,uM
5,Dasatinib,Entinostat,0.015625,0,64.44731451,uM,uM
5,Dasatinib,Entinostat,0.03125,0,52.64986194,uM,uM
5,Dasatinib,Entinostat,0.0625,0,44.76707936,uM,uM
5,Dasatinib,Entinostat,0.125,0,36.45230249,uM,uM
5,Dasatinib,Entinostat,0.25,0,34.11418901,uM,uM
5,Dasatinib,Entinostat,0,0.3125,99.24863079,uM,uM
5,Dasatinib,Entinostat,0,0.625,103.1050559,uM,uM
5,Dasatinib,Entinostat,0,1.25,111.6054859,uM,uM
5,Dasatinib,Entinostat,0,2.5,97.25252342,uM,uM
5,Dasatinib,Entinostat,0,5,75.0056579,uM,uM
5,Dasatinib,Entinostat,0,10,48.92952519,uM,uM
5,Dasatinib,Entinostat,0,20,39.23867288,uM,uM
5,Dasatinib,Entinostat,0,40,36.49119631,uM,uM
5,Dasatinib,Entinostat,0.001953125,0.3125,79.92518703,uM,uM
5,Dasatinib,Entinostat,0.00390625,0.625,69.15883369,uM,uM
5,Dasatinib,Entinostat,0.0078125,1.25,66.80414349,uM,uM
5,Dasatinib,Entinostat,0.015625,2.5,52.70957222,uM,uM
5,Dasatinib,Entinostat,0.03125,5,45.50163054,uM,uM
5,Dasatinib,Entinostat,0.0625,10,40.7155189,uM,uM
5,Dasatinib,Entinostat,0.125,20,40.82102436,uM,uM
5,Dasatinib,Entinostat,0.25,40,42.54747746,uM,uM
5,Dasatinib,Entinostat,0.001953125,0,87.63874874,uM,uM
5,Dasatinib,Entinostat,0.00390625,0,85.58508054,uM,uM
5,Dasatinib,Entinostat,0.0078125,0,76.31460926,uM,uM
5,Dasatinib,Entinostat,0.015625,0,72.23343424,uM,uM
5,Dasatinib,Entinostat,0.03125,0,61.82307434,uM,uM
5,Dasatinib,Entinostat,0.0625,0,44.37156632,uM,uM
5,Dasatinib,Entinostat,0.125,0,34.77968382,uM,uM
5,Dasatinib,Entinostat,0.25,0,31.57304631,uM,uM
5,Dasatinib,Entinostat,0,0.3125,104.3290467,uM,uM
5,Dasatinib,Entinostat,0,0.625,100.8828905,uM,uM
5,Dasatinib,Entinostat,0,1.25,93.73735231,uM,uM
5,Dasatinib,Entinostat,0,2.5,85.04389973,uM,uM
5,Dasatinib,Entinostat,0,5,60.85416803,uM,uM
5,Dasatinib,Entinostat,0,10,38.58362165,uM,uM
5,Dasatinib,Entinostat,0,20,34.47108166,uM,uM
5,Dasatinib,Entinostat,0,40,37.05855474,uM,uM
5,Dasatinib,Entinostat,0.001953125,0.3125,74.78448276,uM,uM
5,Dasatinib,Entinostat,0.00390625,0.625,71.09233212,uM,uM
