"","Ensembl ID","Gene Symbol","BH-Adjusted P-Value","T-Statistic","Average Expression","Log2 Fold Change in Expression"
"296","ENSG00000102466","FGF14",0.0364,-3.9711,-3.7213,-3.3503
"297","ENSG00000261002",NA,0.0364,3.9699,-5.0675,1.1729
"298","ENSG00000163785","RYK",0.0364,-3.9698,6.0849,-0.6333
"299","ENSG00000100744","GSKIP",0.0365,3.9678,4.9758,0.8141
"300","ENSG00000267939",NA,0.0365,-3.9673,-2.9307,-1.6002
"301","ENSG00000157353","FCSK",0.0366,3.9649,4.3064,0.9199
"302","ENSG00000254473","UBQLN1-AS1",0.0366,3.9638,0.071,0.9085
"303","ENSG00000235501",NA,0.0366,-3.9632,-0.5598,-2.217
"304","ENSG00000160188","RSPH1",0.0372,3.957,0.1203,2.7212
"305","ENSG00000188050","RNF133",0.0372,3.9566,-4.4362,2.4739
"306","ENSG00000108604","SMARCD2",0.0376,3.9524,7.049,0.9544
"307","ENSG00000088682","COQ9",0.0376,3.951,5.7205,0.6746
"308","ENSG00000170412","GPRC5C",0.0387,3.9415,3.8113,3.2428
"309","ENSG00000113140","SPARC",0.0387,-3.9408,3.8554,-4.4885
"310","ENSG00000203620",NA,0.0388,3.9388,-5.6165,1.8435
"311","ENSG00000105329","TGFB1",0.0393,-3.9341,3.3974,-2.8142
"312","ENSG00000127838","PNKD",0.0394,3.932,5.6941,0.8713
"313","ENSG00000251526",NA,0.0397,3.9277,-6.4165,2.3612
"314","ENSG00000120937","NPPB",0.0397,-3.9276,-5.0656,-3.2063
"315","ENSG00000080986","NDC80",0.0399,-3.9242,5.5217,-1.1015
"316","ENSG00000258730","ITPK1-AS1",0.0399,3.9222,-3.3077,1.5956
"317","ENSG00000183691","NOG",0.0399,-3.922,-1.6853,-3.639
"318","ENSG00000106780","MEGF9",0.0399,3.922,4.8636,1.2237
"319","ENSG00000079819","EPB41L2",0.0399,-3.9219,5.6095,-2.8848
"320","ENSG00000226520",NA,0.0404,-3.917,-5.933,-2.2531
"321","ENSG00000244567",NA,0.0405,-3.915,0.0349,-1.0206
"322","ENSG00000169710","FASN",0.0405,3.9145,9.6799,1.2559
"323","ENSG00000196922","ZNF252P",0.0406,3.9121,4.8998,0.8792
"324","ENSG00000175274","TP53I11",0.0406,3.9118,5.4685,2.7936
